Ewe/V	<I>/mA	
-1.1233573E+000	-1.969664358577050E-003
-1.1202821E+000	-1.981751133143916E-003
-1.1168559E+000	-1.981558016869443E-003
-1.1141868E+000	-1.938610193617152E-003
-1.1110126E+000	-1.902866824121489E-003
-1.1078463E+000	-1.889819334711065E-003
-1.1048555E+000	-1.901649358209002E-003
-1.1016058E+000	-1.917378695566185E-003
-1.0987821E+000	-1.887368371886359E-003
-1.0956352E+000	-1.845168504080267E-003
-1.0923959E+000	-1.818769082904383E-003
-1.0893432E+000	-1.823268721328267E-003
-1.0860873E+000	-1.839677876595107E-003
-1.0832704E+000	-1.832731814796963E-003
-1.0801749E+000	-1.790905697764453E-003
-1.0771643E+000	-1.749062760138389E-003
-1.0741034E+000	-1.738740146054494E-003
-1.0710268E+000	-1.756572665954075E-003
-1.0678562E+000	-1.758166512770123E-003
-1.0646976E+000	-1.727688191050004E-003
-1.0616894E+000	-1.685499778220995E-003
-1.0587362E+000	-1.661589760601594E-003
-1.0552444E+000	-1.669609031393647E-003
-1.0526136E+000	-1.682027832121741E-003
-1.0492917E+000	-1.668660348898884E-003
-1.0462991E+000	-1.629876463961667E-003
-1.0432191E+000	-1.595805387621236E-003
-1.0401261E+000	-1.585078152158664E-003
-1.0371776E+000	-1.604918319344513E-003
-1.0339473E+000	-1.599610492243855E-003
-1.0308746E+000	-1.567927774057609E-003
-1.0278939E+000	-1.522431555323625E-003
-1.0248134E+000	-1.498735215964844E-003
-1.0216707E+000	-1.510153679013054E-003
-1.0187088E+000	-1.518996128075184E-003
-1.0153308E+000	-1.496363909836874E-003
-1.0124267E+000	-1.447243183585155E-003
-1.0093604E+000	-1.404257015906297E-003
-1.0063109E+000	-1.409300175331349E-003
-1.0031332E+000	-1.414669551317834E-003
-1.0001885E+000	-1.399766466793802E-003
-9.9727678E-001	-1.349106748453517E-003
-9.9383032E-001	-1.287842437331425E-003
-9.9088442E-001	-1.261513193396367E-003
-9.8791200E-001	-1.264135861202491E-003
-9.8469990E-001	-1.252509544120325E-003
-9.8155200E-001	-1.204341544231673E-003
-9.7852159E-001	-1.125353941517911E-003
-9.7560322E-001	-1.069541904631218E-003
-9.7235274E-001	-1.045659219287766E-003
-9.6930623E-001	-1.038181053599735E-003
-9.6611512E-001	-9.920844957897702E-004
-9.6302289E-001	-8.934818154021466E-004
-9.6002668E-001	-8.021390193724606E-004
-9.5715511E-001	-7.409728562186926E-004
-9.5393425E-001	-7.107416925415649E-004
-9.5068181E-001	-6.551547951159711E-004
-9.4770265E-001	-5.409546912298006E-004
-9.4462472E-001	-4.177917536156064E-004
-9.4168741E-001	-3.093425092620585E-004
-9.3828756E-001	-2.460039417988874E-004
-9.3562263E-001	-1.703722640767427E-004
-9.3218964E-001	-4.718660355286687E-005
-9.2913961E-001	1.119641090733738E-004
-9.2624772E-001	2.576549784167196E-004
-9.2318958E-001	3.747468381780934E-004
-9.2004484E-001	4.714100325153500E-004
-9.1701466E-001	6.124327009575017E-004
-9.1400075E-001	7.886769420792951E-004
-9.1075802E-001	9.983544945358670E-004
-9.0756893E-001	1.159036503858199E-003
-9.0481597E-001	1.283513581646342E-003
-9.0156025E-001	1.430484188923796E-003
-8.9845300E-001	1.610855240171216E-003
-8.9539826E-001	1.841935910691132E-003
-8.9240545E-001	2.046059970049481E-003
-8.8934720E-001	2.195311269409630E-003
-8.8617259E-001	2.319162991300673E-003
-8.8318861E-001	2.497601320880816E-003
-8.8011557E-001	2.725414451106196E-003
-8.7694693E-001	2.949072136613863E-003
-8.7391114E-001	3.117520020980799E-003
-8.7085640E-001	3.249636657074003E-003
-8.6752164E-001	3.389906794122259E-003
-8.6462748E-001	3.582178970331237E-003
-8.6150682E-001	3.792627586920269E-003
-8.5856652E-001	3.954126578849242E-003
-8.5534811E-001	4.068224561478914E-003
-8.5234046E-001	4.159367321465532E-003
-8.4933943E-001	4.280907481993029E-003
-8.4606189E-001	4.431501819908576E-003
-8.4318298E-001	4.575611942040536E-003
-8.3998096E-001	4.649138184991665E-003
-8.3685327E-001	4.692535815885475E-003
-8.3368248E-001	4.739141406179662E-003
-8.3057070E-001	4.823368129304340E-003
-8.2793158E-001	4.921136396075911E-003
-8.2436162E-001	4.950736967267777E-003
-8.2122368E-001	4.930710972270644E-003
-8.1851578E-001	4.900948289384990E-003
-8.1533426E-001	4.900798240214506E-003
-8.1210780E-001	4.935519708656758E-003
-8.0917907E-001	4.916591264580883E-003
-8.0608612E-001	4.851911735970920E-003
-8.0290574E-001	4.765380502354102E-003
-7.9999232E-001	4.698717959107475E-003
-7.9683119E-001	4.677572806615776E-003
-7.9365033E-001	4.641655834250609E-003
-7.9069775E-001	4.561063012780718E-003
-7.8769863E-001	4.442829272368103E-003
-7.8455281E-001	4.331041598496609E-003
-7.8168613E-001	4.273203573088073E-003
-7.7827758E-001	4.228437335801324E-003
-7.7527058E-001	4.150595602563298E-003
-7.7198881E-001	4.035195032884076E-003
-7.6908070E-001	3.899872546851067E-003
-7.6604223E-001	3.826084777626554E-003
-7.6298678E-001	3.782502864201630E-003
-7.5986111E-001	3.728709998313207E-003
-7.5676626E-001	3.629103604278226E-003
-7.5369573E-001	3.511973801745887E-003
-7.5071108E-001	3.425385181052280E-003
-7.4744451E-001	3.375516891862537E-003
-7.4472153E-001	3.342011611818754E-003
-7.4137938E-001	3.269030540545489E-003
-7.3829508E-001	3.167083823947391E-003
-7.3525608E-001	3.077469196796315E-003
-7.3194581E-001	3.025731650983035E-003
-7.2908789E-001	2.995539333824113E-003
-7.2614729E-001	2.962311817485061E-003
-7.2292387E-001	2.878274236406596E-003
-7.2108519E-001	2.839757828041911E-003
-7.2098017E-001	2.782302442938089E-003
-7.2025520E-001	2.584819681942463E-003
-7.2254294E-001	2.309338376270318E-003
-7.2554779E-001	2.165135968198225E-003
-7.2884321E-001	2.114045249673589E-003
-7.3171473E-001	2.055163797178600E-003
-7.3499370E-001	1.947209634360146E-003
-7.3811656E-001	1.857290232010200E-003
-7.4108142E-001	1.789267003827120E-003
-7.4438828E-001	1.763446443614418E-003
-7.4702948E-001	1.732290163837602E-003
-7.5019938E-001	1.658268215643532E-003
-7.5320780E-001	1.568637534189423E-003
-7.5656891E-001	1.496848061221428E-003
-7.5959134E-001	1.457602373242089E-003
-7.6269931E-001	1.439049142829519E-003
-7.6595771E-001	1.383798745726895E-003
-7.6870793E-001	1.303328700958315E-003
-7.7161306E-001	1.214394929932565E-003
-7.7488559E-001	1.153720672537675E-003
-7.7796561E-001	1.130463125751442E-003
-7.8112733E-001	1.086087750983157E-003
-7.8430003E-001	1.002477795436465E-003
-7.8726566E-001	9.047258497853032E-004
-7.9066849E-001	8.160884277767129E-004
-7.9344934E-001	7.726293180212451E-004
-7.9668194E-001	7.323920416817120E-004
-7.9948187E-001	6.474018422945203E-004
-8.0300856E-001	5.379778908368637E-004
-8.0575562E-001	4.149909740403602E-004
-8.0865437E-001	3.446910790257480E-004
-8.1201369E-001	2.910004159823697E-004
-8.1482792E-001	2.053622970643282E-004
-8.1803441E-001	7.827954587660618E-005
-8.2120943E-001	-7.203337155203837E-005
-8.2425863E-001	-1.965764241812650E-004
-8.2750362E-001	-2.839061847786130E-004
-8.3039892E-001	-3.736914736732306E-004
-8.3356577E-001	-5.037840304304639E-004
-8.3655882E-001	-6.853674486819693E-004
-8.3934319E-001	-8.596449003529663E-004
-8.4286398E-001	-9.885943679250851E-004
-8.4587109E-001	-1.092110528653783E-003
-8.4893298E-001	-1.215703067102294E-003
-8.5180891E-001	-1.412328648273484E-003
-8.5505110E-001	-1.625390505312544E-003
-8.5811740E-001	-1.804424582847528E-003
-8.6124921E-001	-1.932116589403317E-003
-8.6445194E-001	-2.068420119992587E-003
-8.6748344E-001	-2.263946615942446E-003
-8.7043190E-001	-2.489441019146648E-003
-8.7370616E-001	-2.704706256508867E-003
-8.7657011E-001	-2.851428850460379E-003
-8.7973762E-001	-2.979094972733243E-003
-8.8274091E-001	-3.153466604869332E-003
-8.8605601E-001	-3.361794681820490E-003
-8.8907129E-001	-3.571368803802343E-003
-8.9183915E-001	-3.736769847039668E-003
-8.9525527E-001	-3.850083446825289E-003
-8.9814639E-001	-3.984664517149981E-003
-9.0117377E-001	-4.151329972890909E-003
-9.0440845E-001	-4.357943882398886E-003
-9.0754092E-001	-4.511801598092863E-003
-9.1044682E-001	-4.599345953325742E-003
-9.1379088E-001	-4.676450132689872E-003
-9.1678840E-001	-4.780518497097680E-003
-9.1999996E-001	-4.931979716794925E-003
-9.2276365E-001	-5.054114944544268E-003
-9.2606574E-001	-5.103037800066733E-003
-9.2918193E-001	-5.109653874699562E-003
-9.3203229E-001	-5.144704942787418E-003
-9.3554914E-001	-5.222119010405916E-003
-9.3816364E-001	-5.299042489176432E-003
-9.4116569E-001	-5.314254309408940E-003
-9.4398767E-001	-5.282549084313352E-003
-9.4751191E-001	-5.244462786062536E-003
-9.5067579E-001	-5.244394603843294E-003
-9.5367390E-001	-5.268681633944103E-003
-9.5707136E-001	-5.258448855993952E-003
-9.5994014E-001	-5.195262428060243E-003
-9.6275032E-001	-5.115899863410198E-003
-9.6609819E-001	-5.056709174888457E-003
-9.6910244E-001	-5.037126231140318E-003
-9.7198647E-001	-5.016850160595471E-003
-9.7503620E-001	-4.949784832271166E-003
-9.7810543E-001	-4.857086881721817E-003
-9.8122203E-001	-4.774747747498101E-003
-9.8433954E-001	-4.736242969199486E-003
-9.8755175E-001	-4.712176081459150E-003
-9.9072105E-001	-4.656543983076387E-003
-9.9367148E-001	-4.570262201631148E-003
-9.9703366E-001	-4.479228883285787E-003
-9.9994242E-001	-4.427011479882413E-003
-1.0028865E+000	-4.400389205504604E-003
-1.0059928E+000	-4.362022879604403E-003
-1.0087436E+000	-4.298005101905547E-003
-1.0122005E+000	-4.211803406860786E-003
-1.0151987E+000	-4.156948520176221E-003
-1.0184430E+000	-4.126349046320952E-003
-1.0214922E+000	-4.112616220254495E-003
-1.0242375E+000	-4.069888992164900E-003
-1.0277156E+000	-3.995014421109652E-003
-1.0305727E+000	-3.934868983118824E-003
-1.0336295E+000	-3.897465656966512E-003
-1.0368493E+000	-3.893321782080794E-003
-1.0397280E+000	-3.875993923949345E-003
-1.0431529E+000	-3.815507248451196E-003
-1.0459758E+000	-3.748158761644457E-003
-1.0491787E+000	-3.712250387532269E-003
-1.0519650E+000	-3.708858043929854E-003
-1.0550021E+000	-3.710388240181470E-003
-1.0584023E+000	-3.674657636533338E-003
-1.0613936E+000	-3.620293780386419E-003
-1.0644482E+000	-3.570002804455991E-003
-1.0676728E+000	-3.558681527692887E-003
-1.0707173E+000	-3.568590473865429E-003
-1.0737005E+000	-3.552433717914021E-003
-1.0768902E+000	-3.509958917870131E-003
-1.0798497E+000	-3.451281026208067E-003
-1.0831273E+000	-3.427795037396209E-003
-1.0861495E+000	-3.433715790541624E-003
-1.0893254E+000	-3.441855271765756E-003
-1.0924197E+000	-3.412147634890041E-003
-1.0951273E+000	-3.356124591811331E-003
-1.0984448E+000	-3.320163701833460E-003
-1.1011834E+000	-3.323635704678696E-003
-1.1049842E+000	-3.335335852723019E-003
-1.1075560E+000	-3.321598432876265E-003
-1.1107514E+000	-3.273426186891658E-003
-1.1137923E+000	-3.228998222052065E-003
-1.1168333E+000	-3.217768498058951E-003
-1.1199821E+000	-3.235444055040455E-003
-1.1231112E+000	-3.237751873354823E-003
-1.1262865E+000	-3.194204937734375E-003
-1.1291609E+000	-3.151163452457698E-003
-1.1321126E+000	-3.132019042530867E-003
-1.1354475E+000	-3.143949068511828E-003
-1.1381384E+000	-3.161351720336832E-003
-1.1413887E+000	-3.137632964773303E-003
-1.1444359E+000	-3.094416962799836E-003
-1.1473750E+000	-3.059998013506107E-003
-1.1507466E+000	-3.066309741663120E-003
-1.1536126E+000	-3.089173751472381E-003
-1.1569122E+000	-3.081107803924302E-003
-1.1599102E+000	-3.047288238674006E-003
-1.1626862E+000	-3.002267071386599E-003
-1.1661370E+000	-2.995148175419418E-003
-1.1692865E+000	-3.019278769475664E-003
-1.1721333E+000	-3.028348234448239E-003
-1.1752522E+000	-3.008060493812081E-003
-1.1784985E+000	-2.966959218968307E-003
-1.1816902E+000	-2.941264270280693E-003
-1.1844534E+000	-2.962573261454188E-003
-1.1877475E+000	-2.977097140431467E-003
-1.1908770E+000	-2.969132595191160E-003
-1.1937519E+000	-2.937644407016431E-003
-1.1969355E+000	-2.898512221528503E-003
-1.2000556E+000	-2.902370654023144E-003
-1.2030678E+000	-2.913323961400663E-003
-1.2060077E+000	-2.927722182156290E-003
-1.2093072E+000	-2.903905360134150E-003
-1.2124144E+000	-2.864184219496156E-003
-1.2152988E+000	-2.850494385419164E-003
-1.2183496E+000	-2.869538327034273E-003
-1.2214922E+000	-2.885804556854055E-003
-1.2247356E+000	-2.876282344556912E-003
-1.2277318E+000	-2.839123770270034E-003
-1.2309715E+000	-2.810132000571948E-003
-1.2338606E+000	-2.821440836389513E-003
-1.2370822E+000	-2.841879477208362E-003
-1.2401663E+000	-2.845417305349790E-003
-1.2430487E+000	-2.813049302988337E-003
-1.2462391E+000	-2.782852389892856E-003
-1.2493429E+000	-2.778921439620219E-003
-1.2525073E+000	-2.802228749260390E-003
-1.2553638E+000	-2.819442795303745E-003
-1.2587136E+000	-2.806257825113803E-003
-1.2617719E+000	-2.774194378194549E-003
-1.2648693E+000	-2.754144314971764E-003
-1.2679448E+000	-2.768842141222208E-003
-1.2709907E+000	-2.795355448045361E-003
-1.2740495E+000	-2.799323119688786E-003
-1.2770212E+000	-2.772209557861061E-003
-1.2803054E+000	-2.744643937113812E-003
-1.2832092E+000	-2.739718488101048E-003
-1.2863020E+000	-2.775353793595059E-003
-1.2892764E+000	-2.797167536657855E-003
-1.2925384E+000	-2.785212582141736E-003
-1.2953798E+000	-2.752871069543080E-003
-1.2985551E+000	-2.745709685021733E-003
-1.3008265E+000	-2.762236632406712E-003
-1.3014562E+000	-2.735370770096779E-003
-1.2989838E+000	-2.403730068359820E-003
-1.2956190E+000	-2.325738797183540E-003
-1.2927072E+000	-2.270219601882675E-003
-1.2896893E+000	-2.204960399808435E-003
-1.2864738E+000	-2.153523054760496E-003
-1.2834939E+000	-2.144403493356806E-003
-1.2805182E+000	-2.157952404699097E-003
-1.2775315E+000	-2.132869055929271E-003
-1.2740998E+000	-2.084375998655165E-003
-1.2710983E+000	-2.033754748124145E-003
-1.2681607E+000	-2.017315924441775E-003
-1.2650074E+000	-2.032783494541938E-003
-1.2619108E+000	-2.031385610475150E-003
-1.2591224E+000	-2.003721669292903E-003
-1.2556479E+000	-1.947736793616574E-003
-1.2526001E+000	-1.922169339520351E-003
-1.2494441E+000	-1.934935908488668E-003
-1.2465088E+000	-1.947261573312577E-003
-1.2434984E+000	-1.934920034938968E-003
-1.2403891E+000	-1.886645346774331E-003
-1.2374583E+000	-1.846414835426913E-003
-1.2342083E+000	-1.850200499732703E-003
-1.2310640E+000	-1.867143909895015E-003
-1.2280018E+000	-1.866882512136472E-003
-1.2250103E+000	-1.831185749015923E-003
-1.2219359E+000	-1.781990113288747E-003
-1.2188684E+000	-1.773261127342410E-003
-1.2157234E+000	-1.793733631286279E-003
-1.2124976E+000	-1.803096696497572E-003
-1.2092792E+000	-1.780912470962900E-003
-1.2063417E+000	-1.734774923777750E-003
-1.2034420E+000	-1.718464502923428E-003
-1.2003044E+000	-1.723008636060640E-003
-1.1973797E+000	-1.740365909995489E-003
-1.1941286E+000	-1.732799041129905E-003
-1.1911018E+000	-1.690986189357443E-003
-1.1881107E+000	-1.657516959207548E-003
-1.1849352E+000	-1.656496676982249E-003
-1.1819975E+000	-1.669765956811325E-003
-1.1787723E+000	-1.678555921980018E-003
-1.1757059E+000	-1.651656028116125E-003
-1.1723981E+000	-1.608623736396676E-003
-1.1695707E+000	-1.594975446648397E-003
-1.1664197E+000	-1.606609921769375E-003
-1.1631299E+000	-1.628830599461895E-003
-1.1605964E+000	-1.611200377965361E-003
-1.1571206E+000	-1.571801999017009E-003
-1.1539888E+000	-1.540284415016552E-003
-1.1511984E+000	-1.544224699354606E-003
-1.1478922E+000	-1.562707514641003E-003
-1.1448871E+000	-1.560961264512375E-003
-1.1417783E+000	-1.535786030689663E-003
-1.1385950E+000	-1.496434306497055E-003
-1.1355966E+000	-1.484779325047775E-003
-1.1323451E+000	-1.501113485476574E-003
-1.1293707E+000	-1.512322722208283E-003
-1.1264038E+000	-1.498347234823644E-003
-1.1232449E+000	-1.465171172363999E-003
-1.1200591E+000	-1.432932744299769E-003
-1.1171849E+000	-1.440422219486343E-003
-1.1138781E+000	-1.454580385809225E-003
-1.1111021E+000	-1.457140095925960E-003
-1.1080678E+000	-1.421195987940597E-003
-1.1048425E+000	-1.383628051874954E-003
-1.1016250E+000	-1.376988893298410E-003
-1.0986893E+000	-1.390207919241350E-003
-1.0957637E+000	-1.403472134632882E-003
-1.0922056E+000	-1.380540274502497E-003
-1.0894346E+000	-1.334307360545087E-003
-1.0862421E+000	-1.314642373959680E-003
-1.0834148E+000	-1.327061217726368E-003
-1.0801133E+000	-1.343180867811844E-003
-1.0770607E+000	-1.334639246319314E-003
-1.0740768E+000	-1.289856837307266E-003
-1.0708359E+000	-1.253350765393542E-003
-1.0679508E+000	-1.250056177176311E-003
-1.0649972E+000	-1.269069858993204E-003
-1.0617323E+000	-1.279338868162734E-003
-1.0587164E+000	-1.243260087676386E-003
-1.0554858E+000	-1.198359539249134E-003
-1.0522784E+000	-1.180631669009405E-003
-1.0492337E+000	-1.197581151647959E-003
-1.0464176E+000	-1.221601151444571E-003
-1.0430671E+000	-1.200651436306550E-003
-1.0400075E+000	-1.150946459030622E-003
-1.0371436E+000	-1.122884707366930E-003
